,RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,LOT #,LOT SIZE,HIGH BID ($/lb),TOTAL VALUE ($),HIGH BIDDER(S),COUNTRY,YEAR
27,28,18,AIPEAD I,Julian Chambi Apaza,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",84.35,28,18,$3.88/lb,"$9,238.25",Katocoffee Inc.,Bolivia,2008
28,29,15,Café Jasmin,Eduardo Tola Condori,"Colonia Uchumachi, Carrasco La Reserva County, Province of Caranavi",84.06,29,15,$3.90/lb,"$7,738.23","Wataru & Co., Ltd.",Bolivia,2008
29,1,24,Agrotakesi SA,Mauricio Ramiro Diez de Medina,"Yanacahi, Yungas of La Paz",93.36,1,24,$35.05/lb,"$63,749.29","Maruyama Coffee for Mikatajuku Group, Itoya Coffee and Orsir Coffee",Bolivia,2009
30,2,28,Café Sima del Jaguar A,Braulio Luque Yana,"Caranavi, Yungas of La Paz",92.05,2,28,$12.06/lb,"$25,614.60","Time’s Club for C-COOP, Tashiro Coffee",Bolivia,2009
31,3,23,Café Monterrey,Valentin Choquehuanca Aduviri,"Caranavi, Yungas of La Paz",91.62,3,23,$9.20/lb,"$16,011.04","Coffee Bean International, Inc",Bolivia,2009
32,4,20,Café Jacaranda,Cruz Elias Choconapi,"Caranavi, Yungas of La Paz",91.38,4,20,$12.80/lb,"$18,779.90","UCC Ueshima Coffee Co., Ltd.",Bolivia,2009
33,5,21,Café Alan Coffe,Luis Yujra Arismende,"Caranavi, Yungas of La Paz",90.9,5,21,$12.35/lb,"$19,657.99",49th Parallel Coffee Roasters and Cafe Imports,Bolivia,2009
34,6,26,Café Central,Luis Huayhua Chiji,"Caranavi, Yungas of La Paz",90.71,6,26,$9.00/lb,"$17,500.32","Invalsa Coffee® for Zoka Coffee (US), Richmond Investment, Steven Sung-Yong Kil (KOR), Fratello Coffee (CA), Willoughby’s Coffee (US), Noble Coffee (US) and No Quarter Coffee (US)",Bolivia,2009
35,7,23,Café Mondono,Carmelo Mamani Titirico,"Caranavi, Yungas of La Paz",90.17,7,23,$9.85/lb,"$16,703.63","49th Parallel Coffee Roasters, Mecca Espresso and Cafe Imports",Bolivia,2009
36,8,27,Café Palmeiras 3,Mario Mamani Machaca,"Caranavi, Yungas of La Paz",89.12,8,27,$7.45/lb,"$14,946.26","Mercanta the Coffee Hunters for Andronicas World of Coffee (UK), Has Bean Coffee (UK), Kontra Coffee (DK), Melbourne Coffee Merchants (AU), Voila Coffee (JP)",Bolivia,2009
37,9,29,Café Origen,Damian Huanca Flores,"Caranavi, Yungas of La Paz",87.95,9,29,$8.46/lb,"$18,660.39",Kaffebrenneriet as,Bolivia,2009
38,10,23,Café Gelen,Ayda Titirico Hilari,"Caranavi, Yungas of La Paz",87.52,10,23,$8.80/lb,"$14,928.85",Bewleys Ltd,Bolivia,2009
39,11,23,Café COACS Ltda. Aurelio,Eugenia Condori Mamani,"Caranavi, Yungas of La Paz",86.62,11,23,$7.35/lb,"$12,765.48","Seven Seeds Specialty Coffee, The Source, Coffee Supreme Australia & Cafe Imports",Bolivia,2009
40,12,30,Café Kantuta,Rosendo Quispe Tintaya,"Caranavi, Yungas of La Paz",86.33,12,30,$6.66/lb,"$14,963.22",Solberg & Hansen AS,Bolivia,2009
41,13,24,Café Cooperativa San Ignacio…,Anacleto Uluri Luque,"Caranavi, Yungas of La Paz",86.26,13,24,$7.07/lb,"$12,824.70","Wataru & Co., Ltd.",Bolivia,2009
42,14,29,Café Primavera II,Agustina Machaca Quispe,"Caranavi, Yungas of La Paz",86.12,14,29,$6.50/lb,"$14,287.07","Toa Coffee Co., Ltd",Bolivia,2009
43,15,25,Café Cooperativa San Ignacio V,Juan Coaquira Mamani,"Caranavi, Yungas of La Paz",85.81,15,25,$6.15/lb,"$11,694.16","Wataru & Co., Ltd.",Bolivia,2009
44,16,28,Café Wara Wara III,Lucila Isidora Quispe de Quispe,"Caranavi, Yungas of La Paz",85.6,16,28,$6.48/lb,"$13,800.26","Mercanta the Coffee Hunters for Bolling Coffee (UK), Kaffitár (IS), Kontra Coffee (DK), VIEIA KAVA (LT), Voila Coffee (JP)",Bolivia,2009
45,17,23,Café Frente a Illimani II,Santusa Lucana de Mamani,"Caranavi, Yungas of La Paz",85.57,17,23,$5.65/lb,"$9,622.35","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2009
46,18,20,Café Flor de Mayo,Pedro Castro Conurana,"Caranavi, Yungas of La Paz",85.24,18,20,$6.20/lb,"$9,431.38","Coffee Bean International, Inc",Bolivia,2009
47,19,20,Café Golondrina,Celso David Mayta Quispe,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",85.24,19,20,$6.25/lb,"$9,507.44","Tony’s Coffees & Teas, Inc., Olympia Coffee Roasting and Montana Coffee Traders",Bolivia,2009
48,20,29,Café Picaflor,Valentina Flores de M.,"Caranavi, Yungas of La Paz",85.21,20,29,$6.15/lb,"$13,470.28","Wataru & Co., Ltd.",Bolivia,2009
49,21,25,Café Alto Asuncion,Eleuteria Villca Salvador,"Caranavi, Yungas of La Paz",85.17,21,25,$5.05/lb,"$9,463.35","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2009
50,22,34,Café Rio Cumbre de la Selva,Gabriel Chura Uluri,"Caranavi, Yungas of La Paz",85.14,22,34,$5.05/lb,"$12,870.13",Kaffebrenneriet as,Bolivia,2009
51,23,25,Café Primavera,Victor Quispe Mamani,"Caranavi, Yungas of La Paz",85.0,23,25,$4.90/lb,"$9,317.30","Nippon Coffee Trading Co.,Ltd",Bolivia,2009
52,24,23,Café Oro,Teodocia Castro Conurana,"Caranavi, Yungas of La Paz",84.95,24,23,$5.40/lb,"$9,221.58","Arab Coffee Co., Ltd",Bolivia,2009
53,25,22,Café El Sombral,Damian W. Condori Poma,"Caranavi, Yungas of La Paz",84.81,25,22,$5.31/lb,"$8,885.28",Moxxee Coffee,Bolivia,2009
54,26,28,Café Rudi,Franklin Cahuapaza Ticona,"Caranavi, Yungas of La Paz",84.69,26,28,$4.50/lb,"$9,562.68",Gala Coffee Limited,Bolivia,2009
55,27,31,Café Flor de Mayo I,Felipe Sacaca Diaz,"Caranavi, Yungas of La Paz",84.6,27,31,$4.51/lb,"$10,633.86",honuKATOCOFFEE Inc.,Bolivia,2009
56,28,28,Café Sofia,Sofia Quisbert Castillo,"Caranavi, Yungas of La Paz",84.33,28,28,$4.50/lb,"$9,433.67","Tashiro Coffee Co.,Ltd",Bolivia,2009
57,29,28,Café Flor Rosa,Martha Ojeda Mamani,"Caranavi, Yungas of La Paz",84.33,29,28,$4.95/lb,"$10,391.24",Barefoot Coffee Roasters,Bolivia,2009
58,30,25,Café Flor de B,Sebastian Olori Huanca,"Caranavi, Yungas of La Paz",84.21,30,25,$4.25/lb,"$7,946.40","Wataru & Co., Ltd.",Bolivia,2009
59,1,13,Flor de Café San Ignacio,"Mario Mamani Mamani, Raymundo Yanarico","Carrasco La Reserva, Caranavi",91.5,1,13,$21.10/lb,"$36,283.68","Invalsa Coffee, Orsir Coffee, Cafe Valverde",Bolivia,2007
60,2,12,San Ignacio,Juana Mamani Huanca,"Carrasco La Reserva, Caranavi",90.78,2,12,$21.10/lb,"$33,492.63","Stumptown Coffee Roasters, Sweet Maria’s, Terroir Coffee",Bolivia,2007
61,3,14,Nakhaki (B),Braulio Luque Yana,"Rosario Entre Rios, Caranavi",90.43,3,14,$17.55/lb,"$32,500.55",Mercanta The Coffee Hunters for Fortnum and Mason London and Cafes El Magnifico Barcelona,Bolivia,2007
62,4,13,Colipampa,Nicolas Carrasco,"II Sección Irupana, Sud-Yungas",90.38,4,13,$12.15/lb,"$20,893.21","Maruyama Coffee for Mikatajuku group, Inoue Coffee",Bolivia,2007
63,5,13,Warmisita – BV,Alejandra Ramos Ticona,"Coroico, Nor-Yungas",89.63,5,13,$10.05/lb,"$17,282.04","KAFFA as, Oslo",Bolivia,2007
64,6,16,CENAPROC 1257,Genoveva Condori,"San Lorenzo, Caranavi",89.6,6,16,$7.10/lb,"$15,026.71",Andronicas World of Coffee in Harrods,Bolivia,2007
65,7,16,CENAPROC 0113,Luis Huayhua,"San Lorenzo, Caranavi",89.45,7,16,$8.05/lb,"$17,037.32",Time’s Club for C-COOP,Bolivia,2007
66,8,18,Amor de Dios IV,David Chambi Apaza,"Taypiplaya, Caranavi",89.13,8,18,$5.60/lb,"$13,333.56",Bewleys Ltd,Bolivia,2007
67,9,13,Pico del Tucan – UTZ,Martin Uluri Luque,"Carrasco La Reserva, Caranavi",88.93,9,13,$5.80/lb,"$9,973.71",Bettys and Taylors of Harrogate,Bolivia,2007
68,10,13,Café Inca BV,Damian Daniel Montaño Ramos,"Coroico, Nor-Yungas",88.18,10,13,$7.80/lb,"$13,412.92","Bontain Coffee Co.,Ltd.",Bolivia,2007
69,11,18,Amor de Dios III,Alberto Siles Aduviri,"Taypiplaya, Caranavi",86.29,11,18,$5.10/lb,"$12,143.06","TOA COFFEE Co.,Ltd.",Bolivia,2007
70,12,13,Chicaloma,Martin Huanca,"Chicaloma, Sud-Yungas",86.26,12,13,$6.45/lb,"$11,091.46","Café imports, 49th Parallel Roasters, Ecco Caffe, Sacred Grounds",Bolivia,2007
71,13,14,Jatum Kjari,Telmo Cahuana,"Distrito Cascada, Sud-Yungas",86.21,13,14,$4.90/lb,"$9,074.23","Fratello Coffee Co., Zoka Coffee Roasters",Bolivia,2007
72,14,22,Polen de Café,"Porfilio Mamani Surco, Gregorio Gonza Mamani, Vicente Gonza Mamani","Carrasco La Reserva, Caranavi",86.0,14,22,$4.95/lb,"$14,405.00","Nippon Coffee Trading Co., Ltd for Doi Coffee",Bolivia,2007
73,15,22,Chijchipani,Serapio Perez Marca,"Chijchipani, Caranavi",85.89,15,22,$5.05/lb,"$14,696.01",Green Mountain Coffee Roasters,Bolivia,2007
74,16,12,Wara,Inocencio Mamani Cori,"Charia, Sud-Yungas",85.87,16,12,$5.55/lb,"$8,809.67",Volcafe Speciality for Buck’s County Coffee,Bolivia,2007
75,17,13,Pico del Tucan,Humberto Villca,"Carrasco La Reserva, Caranavi",85.76,17,13,$7.05/lb,"$12,123.22",Bewleys Ltd,Bolivia,2007
76,18,13,Loayza BV,"Mario Condori Chino, Gonzalo Chambi, Santos Lucero limachi Paye","Santa Fé, Caranavi",85.68,18,13,$4.55/lb,"$7,824.21","Wataru & Co., Ltd.",Bolivia,2007
77,19,18,Nectar,"Pablo Yana Mamani, Anacleto Uluri, Ricardo Olori","Carrasco La Reserva, Caranavi",85.55,19,18,$4.90/lb,"$11,666.86",SUPREMO Kaffeeroesterei Unterhaching,Bolivia,2007
78,20,18,Flor de Mayo,Pedro Castro Conurana,"Siete Estrellas, Chijchipani County, Province of Caranavi",85.53,20,18,$5.10/lb,"$12,143.06",Mercanta The Coffee Hunters for James Gourmet Coffee UK and Has Bean Coffee UK,Bolivia,2007
79,21,17,Golondrina,"Cipriano Tórrez Blanco, Celso David Mayta Quispe","Caranavi Rural, Caranavi",85.05,21,17,$5.15/lb,"$11,580.88","Coffee Bean International, Inc.",Bolivia,2007
80,22,12,Cerro Mula de Agua Dulce,Patricio Fernandez,"Carrasco La Reserva, Caranavi",84.87,22,12,$4.15/lb,"$6,587.41","Wataru & Co., Ltd.",Bolivia,2007
81,23,15,Café Apolo,Angel Raimundo Pamuri Cuqueño,"Not Available, Franz Tamayo",84.63,23,15,$4.90/lb,"$9,722.39",Gala Coffee and Tea Ltd,Bolivia,2007
82,24,13,Cerro Condoriri,Máximo Yapu Chuyma,"Calama, Caranavi",84.61,24,13,$4.90/lb,"$8,426.07",SUPREMO Kaffeeroesterei Unterhaching,Bolivia,2007
83,25,13,Machacamarca BV,Maria Nina Lupe del Rosario Andrade,"Chulumani, Sud-Yungas",84.5,25,13,$5.24/lb,"$9,010.73",Has Bean Coffee Ltd,Bolivia,2007
84,26,21,Ciana,"Andres Ulluri Luque, Luciano Huanca Flores","Carrasco La Reserva, Caranavi",84.11,26,21,$4.90/lb,"$13,611.34",Equal Exchange,Bolivia,2007
85,1,16,Agricabv BV Calama Marka,Juan de Dios Blanco,"Calama, Calama",93.52,1,16,$12.55/lb,"$30,988.18","Small Axe Coffee Alliance – Intelligentsia, Coffee Tree Roasters, Coffee Klatch, Paradise Roasters, Caffe Pronto, Sweet Maria’s, PT’s coffee, Gimme Coffee, Barefoot Coffee, Victrola, Groundworks, Alpen Sierra, 49th Parallel, Ecco Caffe, Maruyama Coffee fo",Bolivia,2005
86,2,20,Golondrina,Celso Mayta,"Copacabana, Caranavi Rural y Entre Rios",93.1,2,20,$5.90/lb,"$18,210.18","Bontain Coffee Co.,Ltd.",Bolivia,2005
87,3,19,Cafè Paraiso,Magali Quispe,"San Ignacio 5ta zona, Carrasco la Reserva",91.5,3,19,$6.05/lb,"$17,739.50",Time’s Club & C-COOP,Bolivia,2005
88,4,18,Ciana 1 {O},Mario Mamani,"Chojña Pampa, Carrasco la Reserva",90.74,4,18,$7.25/lb,"$20,139.23","Stumptown, Maruyama Coffee and Mocca Kaffebar & Brenneri",Bolivia,2005
89,5,21,Pico del tucan 3,Carmelo Olori,"Uchumachi, Carrasco la Reserva",90.52,5,21,$4.50/lb,"$14,583.58","Nippon Coffee Trading Co., Ltd.",Bolivia,2005
90,6,17,Machaca {O},Virgilio Avila,"Nueva Llusta, San Lorenzo",90.26,6,17,$4.15/lb,"$10,887.53",Yamada coffee for Mikatajuku group,Bolivia,2005
91,7,19,Machaca,Teofilo Machaca,"Chojña Pampa, Carrasco la Reserva",89.67,7,19,$3.90/lb,"$11,435.38",Solberg & Hansen AS,Bolivia,2005
92,8,17,Asocafe {O},Jose Ramos,"Amor de Dios, Taipiplaya",87.95,8,17,$4.20/lb,"$11,018.70",Mokkamestarit oy,Bolivia,2005
93,9,18,Pico del Tucan 2,Eduardo Tola,"Uchumachi, Carrasco la Reserva",87.43,9,18,$3.65/lb,"$10,139.06","Toa Coffee Co.,Ltd.",Bolivia,2005
94,10,18,Pico del Tucan 4,Yolanda Condori,"Uchumachi, Carrasco la Reserva",87.1,10,18,$4.05/lb,"$11,250.19",Kaffebrenneriet as,Bolivia,2005
95,11,21,Rio Colorado {O},Evaristo Hilari,"Chijchipani, Entre Rios",86.23,11,21,$3.30/lb,"$10,694.62",Katocoffee Inc.,Bolivia,2005
96,12,17,Flor de San Pablo,Monica Quispe,"San Pablo primero, San Pablo",86.05,12,17,$3.75/lb,"$9,838.13","Schlüter & Maack – Fine Coffees for Hagen Kaffee, Laier Kaffeerösterei, Lloyd Caffee, Mondo del Caffè, Saerve Kaffeerösterei, Spezialitäten-Compagnie, Wasserburger Kaffeerösterei Kaffeerösterei",Bolivia,2005
97,13,27,Jakaranda {O},Pascual Viscarra,"8 de septiembre, Entre Rios",85.87,13,27,$4.05/lb,"$16,875.28","Caravan Coffee Co.,Ltd.",Bolivia,2005
98,14,18,Pico del Tucan,Anacleto Uluri,"San Ignacio , Carrasco la Reserva",85.7,14,18,$4.25/lb,"$11,805.75","Intelligentsia, Counter Culture, Batdorf and Bronson, Sweet Maria’s, The Coffee Tree Roasters, PTs, Caffe Pronto",Bolivia,2005
99,15,17,Anditrade BV Monterrey,Valentin Choquehuanca,"Loayza, Cauca",85.43,15,17,$4.00/lb,"$10,494.00","Mercanta The Coffee Hunters for Has Bean Coffee, England",Bolivia,2005
100,16,16,Café llusta {O},Rufino Quispe,"Nueva Llusta, San Lorenzo",85.33,16,16,$3.85/lb,"$9,506.33","UCC Ueshima Coffee Co., Ltd.",Bolivia,2005
101,17,17,Villalobos {O},Benigno Villalobos,"Colonia 7 estrellas, Entre Rios",84.63,17,17,$3.40/lb,"$8,919.90","Mocha Joe’s Roasters, The Ultimate Bean, Sacred Grounds, and Rojos Roastery",Bolivia,2005
102,18,17,Café Central {O},Luis Huayhua,"Nueva Llusta, San Lorenzo",84.6,18,17,$4.00/lb,"$10,494.00","World Coffee Co.,Ltd.",Bolivia,2005
103,19,19,Colina Siete Estrellas {O},Emilio Castro,"Colonia 7 estrellas, Entre Rios",84.02,19,19,$3.00/lb,"$8,796.44",Katocoffee Inc.,Bolivia,2005
